location,latitude,longitude,buffer_m,visibility,true_coordinates,comments,internal_wildtrax_id
804-7,,,5500,Visible,t,,525446
804-8,,,5500,Visible,t,,525447
804-9,,,5500,Visible,t,,525448
805-1,,,5500,Visible,t,,508814
805-2,,,5500,Visible,t,,508815
805-3,,,5500,Visible,t,,508816
805-4,,,5500,Visible,t,,508818
805-5,,,5500,Visible,t,,508817
805-6,,,5500,Visible,t,,508819
805-7,,,5500,Visible,t,,508820
805-8,,,5500,Visible,t,,508821
805-9,,,5500,Visible,t,,508822
808-1,,,5500,Visible,t,,525449
808-2,,,5500,Visible,t,,525450
808-3,,,5500,Visible,t,,525451
808-4,,,5500,Visible,t,,525452
808-5,,,5500,Visible,t,,525453
808-6,,,5500,Visible,t,,525454
808-7,,,5500,Visible,t,,525455
808-8,,,5500,Visible,t,,525456
808-9,,,5500,Visible,t,,525457
809-1,,,5500,Visible,t,,525458
809-2,,,5500,Visible,t,,525459
809-3,,,5500,Visible,t,,525460
809-4,,,5500,Visible,t,,525461
809-5,,,5500,Visible,t,,525462
809-6,,,5500,Visible,t,,525463
809-7,,,5500,Visible,t,,525464
809-8,,,5500,Visible,t,,525465
809-9,,,5500,Visible,t,,525466
810-1,,,5500,Visible,t,,525467
810-2,,,5500,Visible,t,,525468
810-3,,,5500,Visible,t,,525469
810-4,,,5500,Visible,t,,525470
810-5,,,5500,Visible,t,,525471
810-6,,,5500,Visible,t,,525472
810-7,,,5500,Visible,t,,525473
810-8,,,5500,Visible,t,,525474
810-9,,,5500,Visible,t,,525475
816-1,,,5500,Visible,t,,508509
816-2,,,5500,Visible,t,,508510
816-3,,,5500,Visible,t,,508511
816-4,,,5500,Visible,t,,508512
816-5,,,5500,Visible,t,,508513
816-6,,,5500,Visible,t,,508514
816-7,,,5500,Visible,t,,508515
816-8,,,5500,Visible,t,,508516
816-9,,,5500,Visible,t,,508517
817-1,,,5500,Visible,t,,526833
817-2,,,5500,Visible,t,,526834
817-3,,,5500,Visible,t,,526835
817-4,,,5500,Visible,t,,526836
817-5,,,5500,Visible,t,,526837
817-6,,,5500,Visible,t,,526838
817-7,,,5500,Visible,t,,526839
817-8,,,5500,Visible,t,,526840
817-9,,,5500,Visible,t,,526841
818-1,,,5500,Visible,t,,508518
818-2,,,5500,Visible,t,,508519
818-3,,,5500,Visible,t,,508520
818-4,,,5500,Visible,t,,508521
818-5,,,5500,Visible,t,,508522
818-6,,,5500,Visible,t,,508523
818-7,,,5500,Visible,t,,508524
818-8,,,5500,Visible,t,,508525
818-9,,,5500,Visible,t,,508526
819-1,,,5500,Visible,t,,526842
819-2,,,5500,Visible,t,,526843
819-3,,,5500,Visible,t,,526844
819-4,,,5500,Visible,t,,526845
819-5,,,5500,Visible,t,,526846
819-6,,,5500,Visible,t,,526847
819-7,,,5500,Visible,t,,526848
819-8,,,5500,Visible,t,,526849
819-9,,,5500,Visible,t,,526850
822-1,,,5500,Visible,t,,509075
822-2,,,5500,Visible,t,,509076
822-3,,,5500,Visible,t,,509077
822-4,,,5500,Visible,t,,509078
822-5,,,5500,Visible,t,,509079
822-6,,,5500,Visible,t,,509080
822-7,,,5500,Visible,t,,509081
822-8,,,5500,Visible,t,,509082
822-9,,,5500,Visible,t,,509083
823-1,,,5500,Visible,t,,509717
823-2,,,5500,Visible,t,,509718
823-3,,,5500,Visible,t,,509719
823-4,,,5500,Visible,t,,509720
823-5,,,5500,Visible,t,,509721
823-6,,,5500,Visible,t,,509722
823-7,,,5500,Visible,t,,509723
823-8,,,5500,Visible,t,,509724
823-9,,,5500,Visible,t,,509725
825-1,,,5500,Visible,t,,508527
825-2,54.811954,-111.665276,5500,Visible,t,,508528
825-3,,,5500,Visible,t,,508529
825-4,,,5500,Visible,t,,508530
825-5,,,5500,Visible,t,,508531
825-6,,,5500,Visible,t,,508532
825-7,,,5500,Visible,t,,508533
825-8,,,5500,Visible,t,,508534
825-9,,,5500,Visible,t,,508535
827-1,54.737556,-111.114609,5500,Visible,t,,516329
827-2,,,5500,Visible,t,,516330
827-3,,,5500,Visible,t,,516332
827-4,,,5500,Visible,t,,516331
827-5,,,5500,Visible,t,,516333
827-6,,,5500,Visible,t,,516334
827-7,,,5500,Visible,t,,516335
827-8,,,5500,Visible,t,,516336
827-9,,,5500,Visible,t,,516337
828-1,,,5500,Visible,t,,509084
828-2,,,5500,Visible,t,,509085
828-3,,,5500,Visible,t,,509086
828-4,,,5500,Visible,t,,509087
828-5,,,5500,Visible,t,,509088
828-6,,,5500,Visible,t,,509089
828-7,,,5500,Visible,t,,509090
828-8,,,5500,Visible,t,,509091
828-9,54.705142,-110.820778,5500,Visible,t,,509092
829-1,,,5500,Visible,t,,509093
829-2,,,5500,Visible,t,,509094
829-3,,,5500,Visible,t,,509095
829-4,,,5500,Visible,t,,509096
829-5,,,5500,Visible,t,,509097
829-6,,,5500,Visible,t,,509098
829-7,,,5500,Visible,t,,509099
829-8,,,5500,Visible,t,,509100
829-9,,,5500,Visible,t,,509101
830-1,,,5500,Visible,t,,509102
830-2,,,5500,Visible,t,,509103
830-3,,,5500,Visible,t,,525476
830-4,,,5500,Visible,t,,509104
830-5,,,5500,Visible,t,,509105
830-6,,,5500,Visible,t,,509106
830-7,,,5500,Visible,t,,509107
830-8,,,5500,Visible,t,,509108
830-9,,,5500,Visible,t,,509109
834-1,,,5500,Visible,t,,525477
834-2,,,5500,Visible,t,,525478
834-3,,,5500,Visible,t,,525479
834-4,,,5500,Visible,t,,525480
834-5,,,5500,Visible,t,,525481
834-6,,,5500,Visible,t,,525482
834-7,,,5500,Visible,t,,525483
834-8,,,5500,Visible,t,,525484
834-9,,,5500,Visible,t,,525485
835-1,,,5500,Visible,t,,525486
835-2,,,5500,Visible,t,,525487
835-3,,,5500,Visible,t,,525488
835-4,,,5500,Visible,t,,525489
835-5,,,5500,Visible,t,,525490
835-6,,,5500,Visible,t,,525491
835-7,,,5500,Visible,t,,525492
835-8,,,5500,Visible,t,,525493
835-9,,,5500,Visible,t,,525494
836-1,,,5500,Visible,t,,509110
836-2,,,5500,Visible,t,,509111
836-3,,,5500,Visible,t,,509112
836-4,,,5500,Visible,t,,509113
836-5,,,5500,Visible,t,,509114
836-6,,,5500,Visible,t,,509115
836-7,,,5500,Visible,t,,509116
836-8,,,5500,Visible,t,,509117
836-9,,,5500,Visible,t,,509118
838-1,,,5500,Visible,t,,508823
838-2,,,5500,Visible,t,,508824
838-3,,,5500,Visible,t,,508825
838-4,,,5500,Visible,t,,508826
838-5,,,5500,Visible,t,,508827
838-6,,,5500,Visible,t,,508828
838-7,,,5500,Visible,t,,508830
838-8,,,5500,Visible,t,,508829
838-9,,,5500,Visible,t,,508831
840-1,,,5500,Visible,t,,525495
840-2,,,5500,Visible,t,,525496
840-3,,,5500,Visible,t,,525497
840-4,,,5500,Visible,t,,525498
840-5,,,5500,Visible,t,,525499
840-6,,,5500,Visible,t,,525500
840-7,,,5500,Visible,t,,525501
840-8,,,5500,Visible,t,,525502
840-9,,,5500,Visible,t,,525503
842-1,,,5500,Visible,t,,509347
842-2,,,5500,Visible,t,,509348
842-3,,,5500,Visible,t,,509349
842-4,,,5500,Visible,t,,509350
842-5,,,5500,Visible,t,,509351
842-6,,,5500,Visible,t,,509352
842-7,,,5500,Visible,t,,509354
842-8,,,5500,Visible,t,,509353
842-9,,,5500,Visible,t,,509355
846-1,,,5500,Visible,t,,508536
846-2,,,5500,Visible,t,,508537
846-3,,,5500,Visible,t,,508538
846-4,,,5500,Visible,t,,508539
846-5,,,5500,Visible,t,,508540
846-6,,,5500,Visible,t,,508541
846-7,,,5500,Visible,t,,508542
846-8,,,5500,Visible,t,,508543
846-9,,,5500,Visible,t,,508544
848-1,,,5500,Visible,t,,508545
848-2,,,5500,Visible,t,,508546
848-3,,,5500,Visible,t,,508547
848-4,,,5500,Visible,t,,508548
848-5,,,5500,Visible,t,,508549
848-6,,,5500,Visible,t,,508550
848-7,,,5500,Visible,t,,508551
848-8,,,5500,Visible,t,,508552
848-9,,,5500,Visible,t,,508553
849-1,,,5500,Visible,t,,526851
849-2,,,5500,Visible,t,,526852
849-3,,,5500,Visible,t,,526853
849-4,,,5500,Visible,t,,526854
849-5,,,5500,Visible,t,,526855
849-6,,,5500,Visible,t,,526856
849-7,,,5500,Visible,t,,526857
849-8,,,5500,Visible,t,,526858
849-9,,,5500,Visible,t,,526859
850-1,,,5500,Visible,t,,509119
850-2,,,5500,Visible,t,,509120
850-3,,,5500,Visible,t,,509121
850-4,,,5500,Visible,t,,509122
850-5,,,5500,Visible,t,,509123
850-6,,,5500,Visible,t,,509124
850-7,,,5500,Visible,t,,509125
850-8,,,5500,Visible,t,,509126
850-9,,,5500,Visible,t,,509127
851-1,,,5500,Visible,t,,509128
851-2,54.841651,-113.643242,5500,Visible,t,,509129
851-3,,,5500,Visible,t,,509130
851-4,,,5500,Visible,t,,509131
851-5,,,5500,Visible,t,,509132
851-6,,,5500,Visible,t,,509133
851-7,,,5500,Visible,t,,509134
851-8,,,5500,Visible,t,,509135
851-9,,,5500,Visible,t,,509136
853-1,,,5500,Visible,t,,509137
853-2,,,5500,Visible,t,,509139
853-3,,,5500,Visible,t,,509140
853-4,,,5500,Visible,t,,509141
853-5,,,5500,Visible,t,,509142
853-6,,,5500,Visible,t,,509143
853-7,,,5500,Visible,t,,509144
853-8,,,5500,Visible,t,,509145
853-9,,,5500,Visible,t,,509146
855-1,,,5500,Visible,t,,509726
855-2,,,5500,Visible,t,,509727
855-3,,,5500,Visible,t,,509728
855-4,,,5500,Visible,t,,509729
855-5,,,5500,Visible,t,,509730
855-6,,,5500,Visible,t,,509731
855-7,,,5500,Visible,t,,509732
855-8,,,5500,Visible,t,,509733
855-9,,,5500,Visible,t,,509734
856-1,,,5500,Visible,t,,509735
856-2,,,5500,Visible,t,,509736
856-3,,,5500,Visible,t,,509737
856-4,,,5500,Visible,t,,509738
856-5,,,5500,Visible,t,,509739
856-6,,,5500,Visible,t,,509740
856-7,,,5500,Visible,t,,509741
856-8,,,5500,Visible,t,,509742
856-9,,,5500,Visible,t,,509743
857-1,,,5500,Visible,t,,508834
857-2,,,5500,Visible,t,,508832
857-3,,,5500,Visible,t,,508833
